Category,SL.No.,NAME OF THE AIRLINE,OCTOBER - PASSENGERS TO INDIA,OCTOBER - PASSENGERS FROM INDIA,OCTOBER - FREIGHT TO INDIA,OCTOBER - FREIGHT FROM INDIA,NOVEMBER - PASSENGERS TO INDIA,NOVEMBER - PASSENGERS FROM INDIA,NOVEMBER - FREIGHT TO INDIA,NOVEMBER - FREIGHT FROM INDIA,DECEMBER - PASSENGERS TO INDIA,DECEMBER - PASSENGERS FROM INDIA,DECEMBER - FREIGHT TO INDIA,DECEMBER - FREIGHT FROM INDIA
DOMESTIC CARRIERS,1,AIR INDIA,274425,245702,4694.1,5753.8,279698,239460,4747.7,6039.5,312569,274032,5096.0,5561.3
DOMESTIC CARRIERS,2,AIR INDIA EXPRESS,143080,165317,59.1,895.9,150988,146346,63.4,929.0,177301,162045,63.6,1044.8
DOMESTIC CARRIERS,3,INDIGO,124147,134444,173.9,1632.2,124692,125700,190.0,1532.3,147493,142627,200.9,1551.4
DOMESTIC CARRIERS,4,JET AIRWAYS,335483,321144,6091.7,9116.1,362161,324806,6427.3,9753.5,416375,380272,6892.5,9413.7
DOMESTIC CARRIERS,5,SPICEJET,79392,82272,110.4,660.5,79407,79856,119.9,597.7,89911,89006,143.7,623.7
DOMESTIC CARRIERS,6,TOTAL (DOMESTIC CARRIERS),956527,948879,11129.2,18058.6,996946,916168,11548.2,18851.9,1143649,1047982,12396.6,18194.9
FOREIGN CARRIERS,1,AEROFLOT,14230,13762,41.0,668.7,12679,12018,36.5,600.2,15365,10963,39.5,550.8
FOREIGN CARRIERS,2,AEROLOGIC,0,0,3.6,3.8,0,0,3.3,246.1,0,0,3.5,3.3
FOREIGN CARRIERS,3,AIR ARABIA,73096,74832,119.9,1238.2,73623,73258,234.9,1080.0,80224,77257,158.3,1139.6
FOREIGN CARRIERS,4,AIR ASIA X,5842,5390,180.7,320.6,5483,5322,183.8,292.2,5805,5917,237.3,284.4
FOREIGN CARRIERS,5,AIR ASIA BERHAD,39389,34684,63.4,312.0,41096,34312,71.0,347.1,44361,40430,94.5,275.7
FOREIGN CARRIERS,6,AIR ASTANA,5044,5177,1.7,39.2,4973,4788,1.3,47.7,5197,3507,4.0,70.0
FOREIGN CARRIERS,7,AIR AUSTRAL,376,417,1.6,5.6,340,270,0.2,4.8,769,451,0.2,5.3
FOREIGN CARRIERS,8,AIR CANADA,14013,11338,201.9,378.6,18203,14868,200.0,551.8,16302,18380,164.1,267.4
FOREIGN CARRIERS,9,AIR CHINA,3263,2717,127.4,143.3,5870,4728,164.9,176.5,6307,6175,172.0,213.9
FOREIGN CARRIERS,10,AIR FRANCE,17694,16334,669.4,1025.6,25002,22145,847.5,1380.6,26289,26335,1074.2,1152.9
FOREIGN CARRIERS,11,AIR MANAS,1525,2291,0.0,10.0,1539,1570,0.7,16.0,1587,1009,4.1,13.0
FOREIGN CARRIERS,12,AIR MAURITIUS,7809,3505,24.8,397.7,7499,7484,18.4,301.4,12111,12526,175.2,430.2
FOREIGN CARRIERS,13,AIR SEYCHELLES,2086,2082,0.3,23.4,2316,2264,1.2,42.9,3561,3178,0.1,81.8
FOREIGN CARRIERS,14,ALL NIPPON AIRWAYS,7775,7495,645.1,306.9,7661,8093,462.0,329.1,8898,8648,531.9,417.8
FOREIGN CARRIERS,15,ARIANA AFGHAN,1966,1489,51.4,98.6,2069,1797,22.2,95.7,2581,2338,60.3,95.0
FOREIGN CARRIERS,16,ASIANA AIRLINES,4670,4040,127.6,69.7,6535,4896,115.0,94.0,6804,6527,87.5,79.6
FOREIGN CARRIERS,17,AUSTRIAN AIRLINES,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
FOREIGN CARRIERS,18,BANGKOK AIRWAYS,3527,3772,1.3,58.4,4156,3940,7.9,32.9,4508,4543,37.5,4.8
FOREIGN CARRIERS,19,BATIK AIR,5312,6280,0.0,0.0,7207,5678,0.0,0.0,8725,8946,0.0,0.0
FOREIGN CARRIERS,20,BHUTAN AIRLINES,2256,1423,0.0,0.0,2202,1375,0.0,0.0,1220,1238,0.0,0.0
FOREIGN CARRIERS,21,BIMAN BANGLADESH,4422,6289,1.2,0.0,6231,7615,26.0,49.0,7031,6989,4.7,7.2
FOREIGN CARRIERS,22,BRITISH AIRWAYS,43446,35960,1663.0,3571.7,46548,39952,1386.1,3250.5,39932,33694,1109.1,2324.4
FOREIGN CARRIERS,23,BRUSSELS AIRLINES,4175,3039,226.5,336.3,4887,3860,254.6,394.1,6091,3996,229.7,354.3
FOREIGN CARRIERS,24,BUDDHA AIR,107,99,0.0,0.0,38,35,0.0,0.0,70,39,0.0,0.0
FOREIGN CARRIERS,25,CARGOLUX AIRLINES INTERNATIONAL S.A.,0,0,53.3,120.8,0,0,86.2,125.0,0,0,142.1,205.8
FOREIGN CARRIERS,26,CATHAY PACIFIC,29100,29216,7424.4,5619.4,35260,29743,8006.5,4149.6,40775,36634,8109.1,4564.1
FOREIGN CARRIERS,27,CHINA AIRLINES LTD,2480,2153,183.3,284.7,3098,1918,193.0,308.6,3465,3373,234.6,286.4
FOREIGN CARRIERS,28,CHINA EASTERN AIRLINES,8895,8304,254.4,199.7,9107,7984,364.6,261.5,10443,10120,333.6,280.9
FOREIGN CARRIERS,29,CHINA SOUTHERN,8939,8516,123.2,16.3,9874,8750,266.4,17.1,10514,10998,290.3,10.2
FOREIGN CARRIERS,30,DRAGON AIR,8718,8211,3.2,12.8,9587,8159,6.1,27.5,12310,10019,2.9,20.3
FOREIGN CARRIERS,31,DRUK AIR,5289,4977,0.3,5.3,5076,4018,0.2,9.4,3793,4121,0.4,8.6
FOREIGN CARRIERS,32,EGYPT AIR,1539,1776,4.0,44.4,1831,1935,9.8,46.2,2260,2277,57.3,127.8
FOREIGN CARRIERS,33,EL-AL-ISRAEL,1663,2167,136.1,14.5,3020,2701,75.2,190.6,3626,2691,99.4,202.2
FOREIGN CARRIERS,34,EMIRATES AIRLINE,226902,226786,5333.5,12260.7,235830,216668,5490.8,12758.5,261972,245705,4752.5,10555.3
FOREIGN CARRIERS,35,ETHIOPIAN AIRLINES,14265,15445,606.6,1288.0,15326,15941,521.3,998.8,27698,22001,1008.8,1165.0
FOREIGN CARRIERS,36,ETIHAD AIRLINES,98089,99444,1044.7,2562.7,107940,91567,868.8,2129.8,127487,105814,887.7,1886.9
FOREIGN CARRIERS,37,FEDERAL EXPRESS,0,0,1078.5,2614.1,0,0,1092.8,2810.2,0,0,1108.1,2575.5
FOREIGN CARRIERS,38,FINN AIR,4409,3344,121.9,223.1,5693,5095,204.6,240.5,6937,5149,199.4,260.6
FOREIGN CARRIERS,39,FLY DUBAI,19751,20372,15.9,227.6,20624,20705,14.2,255.6,22477,21226,5.3,239.2
FOREIGN CARRIERS,40,GARUDA INDONESIA,1319,1339,1.1,35.9,1581,1423,3.0,28.4,1565,1520,3.3,27.8
FOREIGN CARRIERS,41,GULF AIR,29941,32920,86.4,757.8,34509,29394,116.7,597.0,40126,33810,94.0,690.1
FOREIGN CARRIERS,42,INDONESIA AIRASIA X,9656,10719,2.3,109.2,7821,7918,67.0,151.9,9664,10745,86.4,101.7
FOREIGN CARRIERS,43,IRAN AIR,872,825,1.8,4.1,1069,777,0.7,12.9,1087,1086,2.4,12.1
FOREIGN CARRIERS,44,IRAQI AIRWAYS,2460,2297,0.0,0.0,2198,2278,0.0,0.0,2204,2128,0.0,0.0
FOREIGN CARRIERS,45,ISLAND AVIATION SERVICES,3653,3753,3.6,81.9,4359,3315,8.2,76.5,5199,4824,16.1,75.8
FOREIGN CARRIERS,46,JAPAN AIRLINES,3960,3750,389.3,153.6,5035,4836,490.3,196.0,4690,5201,517.3,157.8
FOREIGN CARRIERS,47,KALITTA AIR,0,0,1330.4,1276.1,0,0,1174.6,1062.6,0,0,1162.1,1215.0
FOREIGN CARRIERS,48,KAM AIR,4646,4171,0.0,66.9,4941,5064,0.0,316.1,5730,4301,0.0,316.1
FOREIGN CARRIERS,49,KENYA AIRWAYS,7522,7045,4.5,31.4,8372,7068,20.3,201.9,8890,7888,6.9,229.5
FOREIGN CARRIERS,50,KLM AIRLINES,9694,9037,357.3,508.6,15379,13573,547.3,747.9,15587,14821,537.9,719.4
FOREIGN CARRIERS,51,KOREAN AIR,5311,4960,241.6,164.5,6331,5412,234.5,205.2,6202,5996,262.0,171.1
FOREIGN CARRIERS,52,KUWAIT AIRWAYS,32711,33324,576.6,2073.1,37280,35843,687.5,1990.1,38694,37630,768.8,1893.6
FOREIGN CARRIERS,53,LUFTHANSA,58600,44974,3983.5,3848.3,57172,47646,3791.5,3582.6,50244,40579,3479.0,2933.3
FOREIGN CARRIERS,54,MAHAN AIR,1925,1605,11.2,82.2,1796,1744,11.7,76.1,1839,2192,3.1,99.9
FOREIGN CARRIERS,55,MALAYSIA AIRLINES,33849,33939,805.0,870.1,25057,23576,1095.6,872.6,37609,38936,1600.6,960.2
FOREIGN CARRIERS,56,MALINDO AIRWAYS,28183,27824,33.4,57.2,26328,26241,45.3,86.6,33036,35179,57.5,105.4
FOREIGN CARRIERS,57,MYANMAR AIRLINES,2259,1771,0.0,12.3,3131,2496,0.0,9.5,2455,2845,0.0,10.4
FOREIGN CARRIERS,58,NEPAL AIRLINES CORPORATION,6119,7145,0.0,32.8,5843,5019,0.0,20.6,4397,3909,2.0,30.6
FOREIGN CARRIERS,59,NOVO AIR,1485,1697,0.0,0.0,1489,1527,0.0,0.0,1980,1989,0.0,0.0
FOREIGN CARRIERS,60,OMAN AIR,81261,80466,132.5,976.7,88293,81218,129.9,931.8,98997,92692,123.3,983.6
FOREIGN CARRIERS,61,PAK INTERNATIONAL,141,115,0.0,0.1,228,355,0.5,0.2,220,515,0.0,0.0
FOREIGN CARRIERS,62,QATAR AIRWAYS,83438,70169,5447.0,8815.0,83139,65246,5934.5,9379.7,94208,72365,5771.5,8261.7
FOREIGN CARRIERS,63,REGENT AIRWAYS,8694,8542,0.0,30.9,7956,8349,0.0,47.7,11439,10868,0.0,35.4
FOREIGN CARRIERS,64,ROSSIYA AIRLINES,5194,2870,1.5,0.0,9287,7999,1.8,2.3,9269,8084,3.1,0.3
FOREIGN CARRIERS,65,RWANDA AIR,642,830,0.0,0.0,1068,826,0.0,0.0,1410,1072,0.0,0.0
FOREIGN CARRIERS,66,SAFI AIRWAYS,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
FOREIGN CARRIERS,67,SAUDIA,51983,57327,274.8,2582.9,63706,63480,301.9,2168.2,70314,67879,355.5,2253.2
FOREIGN CARRIERS,68,SCAT AIRLINES,196,0,0.0,0.0,815,668,0.0,0.0,1076,1032,0.0,0.0
FOREIGN CARRIERS,69,SCOOT PTE LTD.,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
FOREIGN CARRIERS,70,SHANDONG AIRLINES,1252,1854,0.0,0.0,1612,1878,0.0,0.0,1426,1458,0.0,0.0
FOREIGN CARRIERS,71,SILK AIR,20022,22147,109.2,241.2,24386,21127,96.5,263.1,30315,28242,127.9,297.4
FOREIGN CARRIERS,72,SINGAPORE AIRLINES,57698,57928,2818.0,3104.2,47434,41444,2867.3,2869.9,54359,50499,3451.1,2853.3
FOREIGN CARRIERS,73,SRILANKAN AIRWAYS,85369,84986,1298.9,1904.7,81852,82213,1048.9,1942.2,91491,94658,1170.0,1889.0
FOREIGN CARRIERS,74,SWISS AIR,12544,11571,893.8,1119.0,11981,11355,806.4,1060.0,13624,12545,847.5,934.8
FOREIGN CARRIERS,75,TAJIK AIR,714,671,0.0,7.6,391,512,0.0,17.4,395,408,2.0,13.3
FOREIGN CARRIERS,76,THAI AIR ASIA,17969,16686,82.0,114.6,17051,16510,119.9,157.3,19033,18422,93.8,142.1
FOREIGN CARRIERS,77,THAI AIRWAYS,54091,50336,2543.2,2039.4,55150,55659,2441.9,2052.8,61514,64661,2809.9,2261.2
FOREIGN CARRIERS,78,THAI LION AIR,1149,1447,0.0,0.0,1816,1762,0.0,0.0,2141,2389,0.0,0.0
FOREIGN CARRIERS,79,THAI SMILE AIRWAYS,7275,5444,0.0,0.0,9116,7604,0.0,0.0,11043,10635,0.0,0.0
FOREIGN CARRIERS,80,TIGER AIRWAYS,36215,30340,343.0,660.9,37204,28436,460.4,562.9,38849,36459,400.8,656.7
FOREIGN CARRIERS,81,TURKISH AIRLINES,22129,20309,1234.4,1446.0,21950,20205,1008.4,1571.6,23251,21470,1049.5,1389.1
FOREIGN CARRIERS,82,TURKMENISTAN AIRLINES,5324,3228,0.0,28.9,5231,4777,0.0,54.8,6638,5056,0.0,37.1
FOREIGN CARRIERS,83,UNITED AIRLINES,14403,13479,206.5,417.7,14419,12606,170.0,309.8,14815,13808,183.4,382.6
FOREIGN CARRIERS,84,UNITED AIRLINES BANGLADESH LTD.,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
FOREIGN CARRIERS,85,UNITED PARCEL SERVICES,0,0,646.1,448.0,0,0,460.6,465.8,0,0,371.6,358.0
FOREIGN CARRIERS,86,US BANGLA AIRLINES,5785,5364,0.0,0.0,6654,6578,0.0,0.0,8797,8063,0.0,0.0
FOREIGN CARRIERS,87,UZBEKISTAN AIRWAYS,4879,4762,324.6,426.8,4293,4182,356.1,418.5,4714,3397,304.2,341.7
FOREIGN CARRIERS,88,VIRGIN ATLANTIC AIRLINES,7770,5489,313.2,491.4,7472,6680,0.0,0.0,7294,5816,302.4,419.3
FOREIGN CARRIERS,89,YEMENIA AIRWAYS,724,705,0.0,2.7,614,750,0.0,3.5,652,750,0.0,3.0
FOREIGN CARRIERS,90,TOTAL (FOREIGN CARRIERS),1523088,1463286,45031.7,69527.0,1601232,1453021,45737.4,68175.8,1785977,1652036,47385.9,63423.0
TOTAL (DOMESTIC & FOREIGN CARRIERS),TOTAL (DOMESTIC & FOREIGN CARRIERS),TOTAL (DOMESTIC & FOREIGN CARRIERS),2479615,2412165,56160.9,87585.6,2598178,2369189,57285.6,87027.7,2929626,2700018,59782.6,81617.9
