Category,SL.No.,NAME OF THE AIRLINE,APRIL - PASSENGERS TO INDIA,APRIL - PASSENGERS FROM INDIA,APRIL - FREIGHT TO INDIA,APRIL - FREIGHT FROM INDIA,MAY - PASSENGERS TO INDIA,MAY - PASSENGERS FROM INDIA,MAY - FREIGHT TO INDIA,MAY - FREIGHT FROM INDIA,JUNE - PASSENGERS TO INDIA,JUNE - PASSENGERS FROM INDIA,JUNE - FREIGHT TO INDIA,JUNE - FREIGHT FROM INDIA
DOMESTIC CARRIERS,1,AIR INDIA,223538,263413,4576.2,6779.7,249094,264555,4697.9,7281.1,271354,209159,4227.6,6387.2
DOMESTIC CARRIERS,2,AIR INDIA EXPRESS,143077,170725,180.9,871.7,156960,150333,115.2,512.4,170274,108357,107.1,840.4
DOMESTIC CARRIERS,3,INDIGO,105509,115573,232.4,1412.3,121095,123711,216.9,1645.4,127110,95462,154.0,1719.8
DOMESTIC CARRIERS,4,JET AIRWAYS,302445,349944,5855.6,9357.0,334034,353372,6176.5,9646.1,367164,278812,6216.2,9392.5
DOMESTIC CARRIERS,5,SPICEJET,72078,76602,122.7,465.3,80429,81923,87.0,492.4,79745,71485,108.6,541.7
DOMESTIC CARRIERS,6,TOTAL (DOMESTIC CARRIERS),846647,976257,10967.7,18886.1,941612,973894,11293.5,19577.4,1015647,763275,10813.5,18881.7
FOREIGN CARRIERS,1,AEROFLOT,9899,13074,21.1,652.4,9036,13917,12.8,626.8,11394,10482,52.4,387.6
FOREIGN CARRIERS,2,AEROLOGIC,0,0,3.5,3.4,0,0,3.7,3.5,0,0,3.6,3.4
FOREIGN CARRIERS,3,AIR ARABIA,72157,77519,165.0,1162.1,78527,78511,135.4,1151.2,75490,59368,184.9,1145.9
FOREIGN CARRIERS,4,AIR ASIA X,5084,5278,125.8,260.8,5165,5268,158.6,262.6,5701,5682,168.0,246.9
FOREIGN CARRIERS,5,AIR ASIA BERHAD,33782,34437,91.1,375.1,42879,39501,101.2,307.9,26259,23399,63.5,238.1
FOREIGN CARRIERS,6,AIR ASTANA,2379,3220,2.2,65.6,2619,3289,2.9,54.5,4723,2336,2.4,50.7
FOREIGN CARRIERS,7,AIR AUSTRAL,347,462,0.0,3.2,353,421,0.0,2.4,249,287,0.0,0.9
FOREIGN CARRIERS,8,AIR CANADA,5952,7499,101.5,116.3,5324,7413,138.3,127.1,6821,7706,129.3,102.8
FOREIGN CARRIERS,9,AIR CHINA,2711,3370,175.7,118.6,2282,3246,197.7,108.8,2908,2919,166.2,99.9
FOREIGN CARRIERS,10,AIR FRANCE,12892,14873,772.8,837.0,14965,16952,806.6,921.9,16838,16999,641.0,955.4
FOREIGN CARRIERS,11,AIR MANAS,719,1272,0.2,34.5,1111,1467,0.0,43.0,2339,1120,0.0,27.9
FOREIGN CARRIERS,12,AIR MAURITIUS,6749,8536,31.4,148.1,9896,11690,18.5,245.0,11892,11278,12.8,305.9
FOREIGN CARRIERS,13,AIR SEYCHELLES,2947,3045,0.0,10.0,2882,3335,1.6,9.1,3102,2940,0.4,10.0
FOREIGN CARRIERS,14,ALL NIPPON AIRWAYS,8303,8846,586.1,502.1,6767,9222,538.3,395.5,7123,7383,525.7,327.6
FOREIGN CARRIERS,15,ARIANA AFGHAN,1481,2166,30.4,64.9,1315,1870,18.7,70.3,570,946,17.0,57.0
FOREIGN CARRIERS,16,ASIANA AIRLINES,3494,4443,152.2,76.7,2670,4860,160.1,71.9,4723,4551,129.1,77.1
FOREIGN CARRIERS,17,AUSTRIAN AIRLINES,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
FOREIGN CARRIERS,18,BANGKOK AIRWAYS,3336,4078,0.5,49.3,4589,4715,0.1,37.8,4363,4108,0.0,29.4
FOREIGN CARRIERS,19,BHUTAN AIRLINES,1290,1326,0.0,0.0,2065,2205,0.0,0.0,1644,1199,0.0,0.0
FOREIGN CARRIERS,20,BIMAN BANGLADESH,3265,4637,0.0,0.1,3599,5532,0.2,41.8,3589,3101,0.0,24.4
FOREIGN CARRIERS,21,BRITISH AIRWAYS,33009,46084,1803.3,3057.2,35013,46540,1778.6,3166.5,43619,42562,1754.0,3343.4
FOREIGN CARRIERS,22,BRUSSELS AIRLINES,2829,4925,172.8,246.5,3660,5316,178.8,221.1,5168,4349,119.5,289.9
FOREIGN CARRIERS,23,BUDDHA AIR,64,60,0.0,0.0,51,46,0.0,0.0,51,90,0.0,0.0
FOREIGN CARRIERS,24,CARGOLUX AIRLINES INTERNATIONAL S.A.,0,0,70.3,155.5,0,0,45.4,66.1,0,0,58.7,129.0
FOREIGN CARRIERS,25,CATHAY PACIFIC,28808,35280,6696.5,3769.6,32334,37284,7052.9,3679.3,35684,33363,7835.0,4467.3
FOREIGN CARRIERS,26,CHINA AIRLINES LTD,1301,2188,239.9,245.7,982,1684,175.6,199.9,1215,2070,189.2,197.7
FOREIGN CARRIERS,27,CHINA EASTERN AIRLINES,8759,10254,352.4,224.8,8076,10303,369.5,198.6,9337,9058,304.6,159.6
FOREIGN CARRIERS,28,CHINA SOUTHERN,7419,8596,343.7,64.8,7624,9075,455.3,74.9,7792,7826,2018.2,33.3
FOREIGN CARRIERS,29,DRAGON AIR,9223,10700,1.7,8.4,10319,11694,3.6,8.9,11329,9228,2.1,10.0
FOREIGN CARRIERS,30,DRUK AIR,4347,4269,0.3,6.5,5655,5541,0.2,9.6,5561,5068,0.2,6.4
FOREIGN CARRIERS,31,EGYPT AIR,1311,2094,9.2,34.6,2007,2240,14.3,36.5,1709,1648,12.4,31.9
FOREIGN CARRIERS,32,EL-AL-ISRAEL,940,920,77.4,61.9,1878,2362,93.8,13.8,1944,2215,120.1,92.0
FOREIGN CARRIERS,33,EMIRATES AIRLINE,197510,237743,5490.8,12758.5,235762,239876,5562.9,14342.3,253763,175728,5101.5,13424.7
FOREIGN CARRIERS,34,ETHIOPIAN AIRLINES,12695,17080,648.5,963.0,16714,24756,665.8,863.0,17196,15593,813.3,1590.6
FOREIGN CARRIERS,35,ETIHAD AIRLINES,111676,136477,1217.4,2387.7,136497,144573,1306.2,3337.9,143111,90997,1068.7,2983.2
FOREIGN CARRIERS,36,EVA AIRWAYS,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
FOREIGN CARRIERS,37,FEDERAL EXPRESS,0,0,1351.0,2406.0,0,0,1514.8,2552.3,0,0,1254.8,2432.9
FOREIGN CARRIERS,38,FINN AIR,2744,3733,150.6,233.8,2248,3434,184.2,194.2,3091,2738,128.5,180.5
FOREIGN CARRIERS,39,FLY DUBAI,21066,21928,15.0,255.7,21850,22217,16.8,272.8,21670,19499,14.7,234.3
FOREIGN CARRIERS,40,GARUDA INDONESIA,1034,1324,1.0,28.7,1743,1852,1.0,20.9,1310,978,0.3,23.5
FOREIGN CARRIERS,41,GULF AIR,37273,37839,79.9,823.3,40352,37814,79.0,771.7,39623,22767,68.8,532.5
FOREIGN CARRIERS,42,IRAN AIR,375,933,0.3,0.2,1223,823,1.3,7.9,629,375,0.6,3.8
FOREIGN CARRIERS,43,IRAQI AIRWAYS,1697,1739,0.0,0.0,2041,2035,0.0,0.0,2041,2035,0.0,0.0
FOREIGN CARRIERS,44,ISLAND AVIATION SERVICES,4312,4669,4.9,85.0,4133,4622,9.1,70.9,3814,3036,1.7,65.5
FOREIGN CARRIERS,45,JAPAN AIRLINES,3613,4210,397.2,306.1,2923,4221,375.2,252.7,3411,3685,399.5,237.8
FOREIGN CARRIERS,46,KALITTA AIR,0,0,1377.3,1174.5,0,0,1711.7,1394.6,0,0,1598.4,1231.3
FOREIGN CARRIERS,47,KAM AIR,4436,4737,0.0,174.1,3591,4671,0.0,231.3,2692,3657,0.0,223.0
FOREIGN CARRIERS,48,KENYA AIRWAYS,6647,7706,7.3,5.9,6604,7853,13.3,12.7,7194,7195,19.2,10.6
FOREIGN CARRIERS,49,KLM AIRLINES,7480,8220,325.4,515.5,7144,8508,352.1,548.4,8227,8336,303.6,552.7
FOREIGN CARRIERS,50,KOREAN AIR,3175,3548,179.3,124.5,2011,2665,77.1,67.9,5768,5749,224.9,147.4
FOREIGN CARRIERS,51,KUWAIT AIRWAYS,27967,32298,480.5,1727.2,36337,37904,653.4,2094.7,37907,26147,559.4,1583.5
FOREIGN CARRIERS,52,LUFTHANSA,41419,59162,4569.9,3498.4,50664,61236,4087.3,3839.3,60394,56665,3607.3,4070.6
FOREIGN CARRIERS,53,MAHAN AIR,1018,2290,18.7,117.7,1702,1249,15.1,82.4,1430,1093,17.5,93.6
FOREIGN CARRIERS,54,MALAYSIA AIRLINES,35181,36596,1198.7,1285.4,39069,37518,1202.1,1086.2,25209,23079,1009.3,795.7
FOREIGN CARRIERS,55,MALINDO AIRWAYS,27946,34610,31.0,97.2,33993,34131,57.1,59.1,28593,30638,58.8,32.8
FOREIGN CARRIERS,56,MEGA MALDIVES AIRLINES,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
FOREIGN CARRIERS,57,MIHIN LANKA,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
FOREIGN CARRIERS,58,MYANMAR AIRLINES,1020,1781,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
FOREIGN CARRIERS,59,NEPAL AIRLINES CORPORATION,8051,7721,0.0,15.9,7062,6416,0.0,13.3,6650,6009,0.0,12.4
FOREIGN CARRIERS,60,NOVO AIR,1743,1956,0.0,0.0,1699,1939,0.0,0.0,1414,1128,0.0,0.0
FOREIGN CARRIERS,61,OMAN AIR,76447,84644,274.6,1391.7,91921,82917,501.0,1504.7,99905,50661,181.6,1358.3
FOREIGN CARRIERS,62,PAK INTERNATIONAL,647,1692,2.5,14.1,229,835,0.7,5.5,71,127,0.1,0.6
FOREIGN CARRIERS,63,QATAR AIRWAYS,81081,88741,5692.6,9075.2,94283,93461,5510.4,9932.3,94053,66386,4978.5,9549.9
FOREIGN CARRIERS,64,REGENT AIRWAYS,9146,9851,0.0,13.0,8997,10478,0.0,26.6,9539,6381,0.0,22.4
FOREIGN CARRIERS,65,ROSSIYA AIRLINES,7041,7278,0.0,0.0,946,3103,0.0,0.0,0,0,0.0,0.0
FOREIGN CARRIERS,66,RWANDA AIR,1156,1058,0.0,0.0,945,1225,0.0,0.0,1289,1164,0.0,0.0
FOREIGN CARRIERS,67,SAFI AIRWAYS,2160,2317,6.1,2.3,2796,2855,0.9,70.0,897,884,3.4,9.2
FOREIGN CARRIERS,68,SAUDIA,60732,77328,262.4,2710.2,70410,70742,252.5,3014.2,73305,39865,204.0,2802.2
FOREIGN CARRIERS,69,SCAT AIRLINES,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
FOREIGN CARRIERS,70,SCOOT PTE LTD.,11592,12556,237.5,375.8,13029,12322,298.4,391.3,14002,12783,322.2,342.2
FOREIGN CARRIERS,71,SHANDONG AIRLINES,1295,1806,0.0,0.0,1205,1813,0.0,0.0,1424,1283,0.0,0.0
FOREIGN CARRIERS,72,SILK AIR,16595,20778,83.2,199.3,23579,23815,134.9,279.6,24607,20635,106.0,250.6
FOREIGN CARRIERS,73,SINGAPORE AIRLINES,40807,47043,3026.4,3080.7,51496,55988,3053.5,3151.0,60459,55868,3375.4,3262.8
FOREIGN CARRIERS,74,SRILNKAN AIRWAYS,59391,67204,787.2,1834.5,83828,82873,752.7,1911.7,79899,65591,934.8,1859.9
FOREIGN CARRIERS,75,SWISS AIR,9386,13159,833.7,1099.1,10250,13666,866.3,1149.2,12835,12893,868.7,1274.8
FOREIGN CARRIERS,76,TAJIK AIR,319,306,0.0,14.3,581,468,0.0,21.5,739,528,1.6,11.2
FOREIGN CARRIERS,77,THAI AIR ASIA,14497,15111,130.0,100.5,15978,16070,143.6,104.1,15625,14095,122.0,109.6
FOREIGN CARRIERS,78,THAI AIRWAYS,55847,62313,2438.0,1611.2,62675,68160,2326.4,1613.7,62661,61866,2279.0,1778.0
FOREIGN CARRIERS,79,THAI SMILE AIRWAYS,2334,2076,0.0,0.0,2991,3759,0.0,0.0,4668,4475,0.0,0.0
FOREIGN CARRIERS,80,THOMAS COOK AIRLINES U.K.,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
FOREIGN CARRIERS,81,TIGER AIRWAYS,21016,21770,98.2,233.0,27757,25673,80.1,211.0,26929,23917,51.0,196.4
FOREIGN CARRIERS,82,TRANSAERO AIRLINES,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
FOREIGN CARRIERS,83,TURKISH AIRLINES,15909,21729,1042.4,1527.8,18516,22432,1245.8,1424.0,21393,20654,1166.1,1567.2
FOREIGN CARRIERS,84,TURKMENISTAN AIRLINES,3340,5139,0.0,49.2,1711,2959,0.0,34.2,1693,2459,0.0,19.3
FOREIGN CARRIERS,85,UNITED AIRLINES,11162,14303,111.8,324.1,12570,14241,183.2,401.4,14467,12524,114.3,401.5
FOREIGN CARRIERS,86,UNITED AIRLINES BANGLADESH LTD.,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
FOREIGN CARRIERS,87,UNITED PARCEL SERVICES,0,0,544.6,457.7,0,0,412.2,447.7,0,0,893.4,59.7
FOREIGN CARRIERS,88,US BANGLA AIRLINES,5376,5139,0.0,0.0,5053,5452,0.0,0.0,5198,4131,0.0,0.0
FOREIGN CARRIERS,89,UZBEKISTAN AIRWAYS,4344,5080,334.0,646.8,4126,4932,272.2,458.6,4058,3137,251.2,455.7
FOREIGN CARRIERS,90,VIRGIN ATLANTIC AIRLINES,5197,7502,285.3,469.3,4365,7581,295.2,477.7,6772,6694,287.3,494.7
FOREIGN CARRIERS,91,YEMENIA AIRWAYS,764,756,0.0,4.1,499,499,0.0,3.5,450,441,0.0,1.8
FOREIGN CARRIERS,92,TOTAL (FOREIGN CARRIERS),1352456,1588430,45761.753,66573.526,1569741,1664131,46678.52,70906.146,1625212,1279850,46902.056,69142.303
TOTAL (DOMESTIC & FOREIGN CARRIERS),TOTAL (DOMESTIC & FOREIGN CARRIERS),TOTAL (DOMESTIC & FOREIGN CARRIERS),2199103,2564687,56729.5,85459.6,2511353,2638025,57972.0,90483.6,2640859,2043125,57715.5,88024.0
